"table_name","column_name","data_type","is_nullable"
"game_stats","id","uuid","NO"
"game_stats","game_id","uuid","NO"
"game_stats","current_turn_number","integer","NO"
"game_stats","current_player_id","uuid","YES"
"game_stats","turn_elapsed_time","integer","NO"
"game_stats","game_elapsed_time","integer","NO"
"game_stats","total_elapsed_time","integer","NO"
"game_stats","last_updated","timestamp with time zone","NO"
"game_stats","created_at","timestamp with time zone","NO"
"turns","id","uuid","NO"
"turns","game_id","uuid","NO"
"turns","player_id","uuid","NO"
"turns","duration","integer","NO"
"turns","timestamp","timestamp with time zone","NO"
"turns","turn_number","integer","NO"
"vp_changes","id","uuid","NO"
"vp_changes","turn_id","uuid","NO"
"vp_changes","game_id","uuid","NO"
"vp_changes","player_id","uuid","NO"
"vp_changes","vp_amount","integer","NO"
"vp_changes","timestamp","timestamp with time zone","NO"
"vp_changes","created_at","timestamp with time zone","NO"
